FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ;KOD ZAKLADU;WERSJA SFCR;DATA SFCR;ID_TAB;TRZECI WYMIAR KRAJ
S.02.01.02.01;R0790;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0800;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0810;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0820;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0830;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0840;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0850;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0860;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0870;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0880;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R0900;C0010;;80;1;31.12.2019;145;
S.02.01.02.01;R1000;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0010;1976.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0020;15011.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0110;C0200;16987.0;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0020;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0030;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0040;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0050;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0060;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0070;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0080;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0090;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0100;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0110;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0120;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0130;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0140;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0150;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0160;;80;1;31.12.2019;145;
S.05.01.02.01;R0120;C0200;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0020;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0030;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0040;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0050;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0060;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0070;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0080;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0090;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0100;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0110;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0120;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0130;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0140;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0150;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0160;;80;1;31.12.2019;145;
S.05.01.02.01;R0130;C0200;;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0010;7.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0020;1.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0140;C0200;8.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0010;1968.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0020;15010.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0200;C0200;16979.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0010;1973.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0020;15011.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0210;C0200;16984.0;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0020;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0030;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0040;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0050;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0060;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0070;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0080;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0090;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0100;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0110;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0120;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0130;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0140;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0150;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0160;;80;1;31.12.2019;145;
S.05.01.02.01;R0220;C0200;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0020;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0030;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0040;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0050;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0060;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0070;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0080;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0090;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0100;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0110;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0120;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0130;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0140;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0150;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0160;;80;1;31.12.2019;145;
S.05.01.02.01;R0230;C0200;;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0010;7.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0020;1.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0240;C0200;8.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0010;1966.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0020;15011.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0300;C0200;16976.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0010;1018.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0020;5853.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0310;C0200;6871.0;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0020;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0030;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0040;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0050;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0060;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0070;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0080;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0090;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0100;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0110;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0120;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0130;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0140;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0150;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0160;;80;1;31.12.2019;145;
S.05.01.02.01;R0320;C0200;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0020;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0030;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0040;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0050;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0060;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0070;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0080;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0090;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0100;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0110;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0120;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0130;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0140;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0150;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0160;;80;1;31.12.2019;145;
S.05.01.02.01;R0330;C0200;;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0010;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0020;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0340;C0200;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0010;1018.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0020;5853.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0400;C0200;6871.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0010;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0020;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0120;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0130;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0140;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0150;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0160;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0410;C0200;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0020;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0030;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0040;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0050;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0060;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0070;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0080;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0090;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0100;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0110;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0120;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0130;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0140;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0150;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0160;;80;1;31.12.2019;145;
S.05.01.02.01;R0420;C0200;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0010;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0020;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0030;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0040;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0050;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0060;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0070;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0080;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0090;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0100;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0110;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0120;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0130;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0140;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0150;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0160;;80;1;31.12.2019;145;
S.05.01.02.01;R0430;C0200;;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0010;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0020;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0030;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0040;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0050;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0060;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0070;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0080;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0090;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0100;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0110;0.0;80;1;31.12.2019;145;
S.05.01.02.01;R0440;C0120;0.0;80;1;31.12.2019;145;
